subject,method,band,window,car,accuracy,kappa,fold_accuracy_std
A01,CSP+SVM,8-30Hz,0.5-2.5s,False,0.8125,0.75,0.0490748039231474
A01,FBCSP+LDA,8-30Hz,0.5-2.5s,False,0.7673611111111112,0.6898148148148149,0.050708697496344
A01,CSP+SVM,8-30Hz,0.5-2.5s,True,0.8090277777777778,0.7453703703703703,0.0481316082890339
A01,FBCSP+LDA,8-30Hz,0.5-2.5s,True,0.7743055555555556,0.6990740740740741,0.0502499872524676
A01,CSP+SVM,8-30Hz,0.5-3.5s,False,0.7743055555555556,0.6990740740740741,0.0286053658924038
A01,FBCSP+LDA,8-30Hz,0.5-3.5s,False,0.7777777777777778,0.7037037037037037,0.0283809743795904
A01,CSP+SVM,8-30Hz,0.5-3.5s,True,0.78125,0.7083333333333333,0.0247210650434114
A01,FBCSP+LDA,8-30Hz,0.5-3.5s,True,0.7777777777777778,0.7037037037037037,0.0283809743795904
A01,CSP+SVM,8-30Hz,0.5-4.0s,False,0.7847222222222222,0.712962962962963,0.0448195438354364
A01,FBCSP+LDA,8-30Hz,0.5-4.0s,False,0.7569444444444444,0.6759259259259259,0.0457141369050098
A01,CSP+SVM,8-30Hz,0.5-4.0s,True,0.78125,0.7083333333333333,0.0489269217732769
A01,FBCSP+LDA,8-30Hz,0.5-4.0s,True,0.7569444444444444,0.6759259259259259,0.0457141369050098
A01,CSP+SVM,8-30Hz,1.0-4.0s,False,0.7291666666666666,0.6388888888888888,0.0342610761983057
A01,FBCSP+LDA,8-30Hz,1.0-4.0s,False,0.75,0.6666666666666667,0.0535696010494305
A01,CSP+SVM,8-30Hz,1.0-4.0s,True,0.7326388888888888,0.6435185185185186,0.0344553653093154
A01,FBCSP+LDA,8-30Hz,1.0-4.0s,True,0.75,0.6666666666666667,0.0524480323023264
A01,CSP+SVM,7-35Hz,0.5-2.5s,False,0.7916666666666666,0.7222222222222222,0.0341910373935321
A01,FBCSP+LDA,7-35Hz,0.5-2.5s,False,0.7743055555555556,0.6990740740740741,0.0387696261104144
A01,CSP+SVM,7-35Hz,0.5-2.5s,True,0.7881944444444444,0.7175925925925926,0.0291594811873082
A01,FBCSP+LDA,7-35Hz,0.5-2.5s,True,0.7708333333333334,0.6944444444444444,0.0435585971399867
A01,CSP+SVM,7-35Hz,0.5-3.5s,False,0.7395833333333334,0.6527777777777778,0.0299375474335539
A01,FBCSP+LDA,7-35Hz,0.5-3.5s,False,0.8055555555555556,0.7407407407407407,0.0424730651874058
A01,CSP+SVM,7-35Hz,0.5-3.5s,True,0.7395833333333334,0.6527777777777778,0.035098148104925
A01,FBCSP+LDA,7-35Hz,0.5-3.5s,True,0.7986111111111112,0.7314814814814814,0.0399029238044045
A01,CSP+SVM,7-35Hz,0.5-4.0s,False,0.75,0.6666666666666667,0.0421070015147614
A01,FBCSP+LDA,7-35Hz,0.5-4.0s,False,0.8125,0.75,0.0602210931631905
A01,CSP+SVM,7-35Hz,0.5-4.0s,True,0.7430555555555556,0.6574074074074074,0.0469110242209347
A01,FBCSP+LDA,7-35Hz,0.5-4.0s,True,0.8159722222222222,0.7546296296296297,0.0603126681618278
A01,CSP+SVM,7-35Hz,1.0-4.0s,False,0.6979166666666666,0.5972222222222222,0.0468384138653231
A01,FBCSP+LDA,7-35Hz,1.0-4.0s,False,0.7638888888888888,0.6851851851851851,0.0492426843480329
