subject,method,config_label,band,window,car,accuracy,kappa,fold_accuracy_std,fold_accuracies,elapsed_sec
A01,EEGNet,default,8-30Hz,0.5-2.5s,False,0.6111111111111112,0.4814814814814815,0.07250448041901338,"[0.6896551724137931, 0.6379310344827587, 0.6206896551724138, 0.631578947368421, 0.47368421052631576]",64.6
A01,EEGNet,subject_preprocess,4-40Hz,0.5-4.0s,False,0.5590277777777778,0.4120370370370371,0.03412964894042712,"[0.5344827586206896, 0.5517241379310345, 0.5172413793103449, 0.6140350877192983, 0.5789473684210527]",100.6
A02,EEGNet,default,8-30Hz,0.5-2.5s,False,0.3229166666666667,0.09722222222222221,0.06032722961003121,"[0.27586206896551724, 0.25862068965517243, 0.43103448275862066, 0.3157894736842105, 0.3333333333333333]",66.6
A02,EEGNet,subject_preprocess,7-35Hz,1.0-4.0s,False,0.4652777777777778,0.2870370370370371,0.048117919715756664,"[0.39655172413793105, 0.4827586206896552, 0.5172413793103449, 0.5087719298245614, 0.42105263157894735]",90.3
A03,EEGNet,default,8-30Hz,0.5-2.5s,False,0.6701388888888888,0.5601851851851851,0.06007993599711323,"[0.6379310344827587, 0.7413793103448276, 0.5862068965517241, 0.7368421052631579, 0.6491228070175439]",68.7
A03,EEGNet,subject_preprocess,8-30Hz,0.5-3.5s,False,0.6111111111111112,0.4814814814814815,0.07561805199929848,"[0.7586206896551724, 0.5862068965517241, 0.5517241379310345, 0.5614035087719298, 0.5964912280701754]",89.4
A04,EEGNet,default,8-30Hz,0.5-2.5s,False,0.375,0.16666666666666663,0.04714130606225211,"[0.3103448275862069, 0.4482758620689655, 0.3620689655172414, 0.3508771929824561, 0.40350877192982454]",66.5
A04,EEGNet,subject_preprocess,8-30Hz,0.5-2.5s,False,0.375,0.16666666666666663,0.04714130606225211,"[0.3103448275862069, 0.4482758620689655, 0.3620689655172414, 0.3508771929824561, 0.40350877192982454]",66.2
A05,EEGNet,default,8-30Hz,0.5-2.5s,False,0.3229166666666667,0.09722222222222221,0.052629840525906774,"[0.3793103448275862, 0.3275862068965517, 0.22413793103448276, 0.3508771929824561, 0.3333333333333333]",67.2
A05,EEGNet,subject_preprocess,4-40Hz,0.5-4.0s,True,0.2847222222222222,0.04629629629629628,0.028409716049872216,"[0.29310344827586204, 0.2413793103448276, 0.3103448275862069, 0.2631578947368421, 0.3157894736842105]",103.2
A06,EEGNet,default,8-30Hz,0.5-2.5s,False,0.3298611111111111,0.10648148148148151,0.03125428507307896,"[0.3275862068965517, 0.3793103448275862, 0.3275862068965517, 0.2807017543859649, 0.3333333333333333]",67.7
A06,EEGNet,subject_preprocess,4-40Hz,0.5-4.0s,False,0.2708333333333333,0.02777777777777779,0.04983400071653845,"[0.22413793103448276, 0.27586206896551724, 0.3620689655172414, 0.2631578947368421, 0.22807017543859648]",104.7
A07,EEGNet,default,8-30Hz,0.5-2.5s,False,0.4097222222222222,0.2129629629629629,0.05156501138091701,"[0.3448275862068966, 0.39655172413793105, 0.46551724137931033, 0.3684210526315789, 0.47368421052631576]",71.0
A07,EEGNet,subject_preprocess,8-30Hz,0.5-4.0s,False,0.4479166666666667,0.26388888888888884,0.08219133890717133,"[0.4827586206896552, 0.29310344827586204, 0.5172413793103449, 0.43859649122807015, 0.5087719298245614]",105.1
A08,EEGNet,default,8-30Hz,0.5-2.5s,False,0.65625,0.5416666666666667,0.049088598437463105,"[0.6724137931034483, 0.5862068965517241, 0.6379310344827587, 0.7368421052631579, 0.6491228070175439]",69.9
A08,EEGNet,subject_preprocess,4-40Hz,0.5-3.5s,True,0.7083333333333334,0.6111111111111112,0.01761007177123798,"[0.7241379310344828, 0.7241379310344828, 0.6896551724137931, 0.7192982456140351, 0.6842105263157895]",92.4
A09,EEGNet,default,8-30Hz,0.5-2.5s,False,0.7222222222222222,0.6296296296296297,0.022033029986263945,"[0.7586206896551724, 0.7068965517241379, 0.7068965517241379, 0.7368421052631579, 0.7017543859649122]",73.1
A09,EEGNet,subject_preprocess,7-35Hz,0.5-2.5s,True,0.7847222222222222,0.712962962962963,0.025991774876655584,"[0.7413793103448276, 0.8103448275862069, 0.8103448275862069, 0.7719298245614035, 0.7894736842105263]",69.7
