subject,task,band,window,car,accuracy,kappa,fold_accuracy_std,current_cv,improvement_pp
A02,hybrid_csp_riemannian,7-35Hz,1.0-4.0s,False,0.5208333333333334,0.36111111111111116,0.06464949579379208,0.6875,-16.666666666666664
A02,hybrid_csp_riemannian,7-35Hz,0.5-4.0s,False,0.5069444444444444,0.34259259259259256,0.06005635723364906,0.6875,-18.055555555555557
A02,hybrid_csp_riemannian,4-40Hz,1.0-4.0s,False,0.5208333333333334,0.36111111111111116,0.06464949579379208,0.6875,-16.666666666666664
A02,hybrid_csp_riemannian,7-35Hz,1.0-4.0s,True,0.5243055555555556,0.3657407407407407,0.09732303842557868,0.6875,-16.319444444444443
A05,hybrid_csp_riemannian,4-40Hz,0.5-4.0s,True,0.5625,0.41666666666666663,0.052715511161268575,0.75,-18.75
A05,hybrid_csp_riemannian,4-40Hz,0.5-4.0s,False,0.5138888888888888,0.35185185185185186,0.050359987848449354,0.75,-23.611111111111114
A05,hybrid_csp_riemannian,7-35Hz,0.5-4.0s,True,0.5625,0.41666666666666663,0.052715511161268575,0.75,-18.75
A05,hybrid_csp_riemannian,4-40Hz,0.5-3.5s,True,0.5208333333333334,0.36111111111111116,0.04653929110567637,0.75,-22.916666666666664
A09,hybrid_csp_riemannian,7-35Hz,0.5-2.5s,True,0.6666666666666666,0.5555555555555556,0.040290108619495585,0.7604,-9.373333333333333
A09,hybrid_csp_riemannian,7-35Hz,0.5-3.5s,True,0.5555555555555556,0.40740740740740744,0.06326326932532482,0.7604,-20.48444444444444
A09,hybrid_csp_riemannian,4-40Hz,0.5-2.5s,True,0.6666666666666666,0.5555555555555556,0.040290108619495585,0.7604,-9.373333333333333
A09,hybrid_csp_riemannian,7-35Hz,0.5-2.5s,False,0.6597222222222222,0.5462962962962963,0.05149612059892627,0.7604,-10.067777777777776
