subject,task,band,window,car,accuracy,kappa,fold_accuracy_std,current_cv,improvement_pp
A02,paper_fbcsp,7-35Hz,1.0-4.0s,False,0.6631944444444444,0.5509259259259259,0.027061021073751714,0.6875,-2.430555555555558
A02,paper_fbcsp,7-35Hz,0.5-4.0s,False,0.6770833333333334,0.5694444444444444,0.026112306175245795,0.6875,-1.041666666666663
A02,paper_fbcsp,4-40Hz,1.0-4.0s,False,0.6631944444444444,0.5509259259259259,0.027061021073751714,0.6875,-2.430555555555558
A02,paper_fbcsp,7-35Hz,1.0-4.0s,True,0.65625,0.5416666666666667,0.032161498504759245,0.6875,-3.125
A05,paper_fbcsp,4-40Hz,0.5-4.0s,True,0.7083333333333334,0.6111111111111112,0.04236772471803637,0.75,-4.1666666666666625
A05,paper_fbcsp,4-40Hz,0.5-4.0s,False,0.6979166666666666,0.5972222222222222,0.059009441062007915,0.75,-5.2083333333333375
A05,paper_fbcsp,7-35Hz,0.5-4.0s,True,0.7083333333333334,0.6111111111111112,0.04236772471803637,0.75,-4.1666666666666625
A05,paper_fbcsp,4-40Hz,0.5-3.5s,True,0.7430555555555556,0.6574074074074074,0.059478249700785614,0.75,-0.694444444444442
A09,paper_fbcsp,7-35Hz,0.5-2.5s,True,0.7395833333333334,0.6527777777777778,0.03342504919025476,0.7604,-2.0816666666666594
A09,paper_fbcsp,7-35Hz,0.5-3.5s,True,0.6597222222222222,0.5462962962962963,0.02967244245559699,0.7604,-10.067777777777776
A09,paper_fbcsp,4-40Hz,0.5-2.5s,True,0.7395833333333334,0.6527777777777778,0.03342504919025476,0.7604,-2.0816666666666594
A09,paper_fbcsp,7-35Hz,0.5-2.5s,False,0.7256944444444444,0.6342592592592593,0.033613936576232864,0.7604,-3.4705555555555545
