target,sources,experiment,config,accuracy,kappa,baseline_cv,improvement_pp,n_source_trials,n_target_finetune,n_target_test
A04,"A01,A02,A03,A05,A07,A08,A09",exp1_cross_subject_csp_svm,source_train→target_test,0.3680555555555556,0.15740740740740744,0.503,-13.494444444444442,2016,0,288
A04,"A01,A02,A03,A05,A07,A08,A09",exp2_cross_subject_riemannian,Cov→TS→LR,0.3784722222222222,0.17129629629629628,0.503,-12.45277777777778,2016,0,288
A04,"A01,A02,A03,A05,A07,A08,A09",exp3_finetune_csp_svm,source+target20%→target80%,0.36796536796536794,0.15737663960024983,0.503,-13.503463203463205,2016,57,231
A04,"A01,A02,A03,A05,A07,A08,A09",exp3_finetune_riemannian,source+target20%→target80%,0.4069264069264069,0.209319175515303,0.503,-9.607359307359308,2016,57,231
A04,"A01,A02,A03,A05,A07,A08,A09",exp4_eegnet_transfer,pretrain+finetune→target80%,0.42857142857142855,0.23779527559055125,0.503,-7.442857142857146,2016,57,231
A06,"A01,A02,A03,A04,A05,A07,A08,A09",exp1_cross_subject_csp_svm,source_train→target_test,0.3055555555555556,0.07407407407407407,0.49,-18.444444444444443,2304,0,288
A06,"A01,A02,A03,A04,A05,A07,A08,A09",exp2_cross_subject_riemannian,Cov→TS→LR,0.2951388888888889,0.06018518518518523,0.49,-19.48611111111111,2304,0,288
A06,"A01,A02,A03,A04,A05,A07,A08,A09",exp3_finetune_csp_svm,source+target20%→target80%,0.30735930735930733,0.07526020816653323,0.49,-18.264069264069267,2304,57,231
A06,"A01,A02,A03,A04,A05,A07,A08,A09",exp3_finetune_riemannian,source+target20%→target80%,0.3852813852813853,0.17970391117335194,0.49,-10.471861471861471,2304,57,231
A06,"A01,A02,A03,A04,A05,A07,A08,A09",exp4_eegnet_transfer,pretrain+finetune→target80%,0.2987012987012987,0.06384149697303243,0.49,-19.12987012987013,2304,57,231
